gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ni,sale,costat
012689,2023-11-30,2023,INDL,C,D,STD,KBH,KB HOME,USD,6648.3620,590.1770,6410.6290,A
012711,2023-09-30,2023,INDL,C,D,STD,CVM,CEL-SCI CORP,USD,30.5280,-32.1940,0.0000,A
012713,2023-12-31,2023,INDL,C,D,STD,ABEO,ABEONA THERAPEUTICS INC,USD,64.0020,-54.1880,3.5000,A
012719,2023-12-31,2023,INDL,C,D,STD,APYX,APYX MEDICAL CORP,USD,79.2400,-18.7130,52.3490,A
012726,2023-12-31,2023,INDL,C,D,STD,UNM,UNUM GROUP,USD,63255.2000,1283.8000,12383.9000,A
012785,2023-12-31,2023,INDL,C,D,STD,PPC,PILGRIM'S PRIDE CORP,USD,9810.3610,321.5740,17362.2170,A
012825,2023-09-30,2023,INDL,C,D,STD,JJSF,J & J SNACK FOODS CORP,USD,1277.2360,78.9060,1558.8290,A
012840,2023-12-31,2023,INDL,C,D,STD,HTLD,HEARTLAND EXPRESS INC,USD,1509.6460,14.7750,1207.4580,A
012874,2023-12-31,2023,INDL,C,D,STD,ICAD,ICAD INC,USD,41.4180,-4.8470,17.3180,A
012909,2023-12-31,2023,INDL,C,D,STD,MKL,MARKEL GROUP INC,USD,55045.7100,1996.0600,15788.8070,A
012915,2023-12-31,2023,INDL,C,D,STD,OSUR,ORASURE TECHNOLOGIES INC,USD,482.8450,53.6550,405.4720,A
012926,2023-12-31,2023,INDL,C,D,STD,FRPH,FRP HOLDINGS INC,USD,709.1660,5.3020,41.5060,A
012945,2023-09-30,2023,INDL,C,D,STD,PLXS,PLEXUS CORP,USD,3321.1720,139.0940,4210.3050,A
012964,2023-12-31,2023,INDL,C,D,STD,CDZI,CADIZ INC,USD,107.3740,-31.4460,1.9910,A
012972,2023-09-30,2023,INDL,C,D,STD,IMKTA,INGLES MARKETS INC  -CL A,USD,2473.8460,210.8120,5892.7820,A
013041,2023-12-31,2023,INDL,C,D,STD,SNV,SYNOVUS FINANCIAL CORP,USD,59809.5340,543.7050,3452.4390,A
013071,2023-12-31,2023,INDL,C,D,STD,RDNT,RADNET INC,USD,2690.4730,3.0440,1616.6300,A
013092,2023-09-30,2023,INDL,C,D,STD,JACK,JACK IN THE BOX INC,USD,3001.0920,130.8260,1692.3060,A
